,Country,Internet access,Population,Trust news in social media,Trust news that I use,Trust news overall,Social media for news,Online for news,Facebook for news,Whatsapp/Viber for news,Twitter for news,Instagram for news
0,United Kingdom,95,67000000.0,6,39,28,39,77,24,7,14,3
1,Austria,88,8800000.0,17,51,40,45,71,30,23,5,9
2,Belgium,94,12000000.0,18,50,45,41,77,41,9,5,8
3,Bulgaria,67,7000000.0,28,37,33,71,86,69,17,8,12
4,Croatia,92,4100000.0,29,42,39,55,88,55,16,0,10
5,Czech Republic,88,10600000.0,16,38,33,49,88,45,13,4,9
6,Denmark,98,5700000.0,14,52,46,47,80,37,2,5,7
7,Finland,94,5600000.0,16,69,56,43,88,32,12,8,7
8,France,92,65000000.0,13,34,23,39,66,43,9,9,9
9,Germany,96,82000000.0,14,59,45,37,70,22,12,6,6
10,Greece,73,11000000.0,21,30,28,71,92,57,17,13,16
11,Hungary,89,9700000.0,25,53,27,64,84,61,5,4,7
12,Ireland,92,4800000.0,18,52,48,50,80,39,19,14,11
13,Italy,93,59000000.0,19,38,29,50,74,56,29,9,17
14,Netherlands,96,17000000.0,20,61,52,39,77,28,20,7,9
15,Norway,98,5400000.0,17,58,45,52,88,37,0,7,8
16,Poland,78,38000000.0,37,55,45,66,87,65,10,11,12
17,Portugal,78,10000000.0,28,59,56,58,80,50,18,8,14
18,Romania,74,19000000.0,31,44,38,60,83,67,21,0,12
19,Slovakia,85,5500000.0,17,40,28,54,79,54,5,0,8
20,Spain,93,43000000.0,23,42,36,56,79,44,34,20,17
21,Sweden,96,10000000.0,13,47,38,50,84,32,3,8,10
22,Switzerland,94,8600000.0,19,52,44,44,77,30,26,0,11
23,Turkey,83,83000000.0,51,61,55,58,85,49,31,30,41
24,United States of America,89,329000000.0,14,45,29,48,72,35,4,17,8
25,Argentina,93,45000000.0,28,44,33,71,86,65,38,14,23
26,Brazil,71,211000000.0,38,54,51,67,87,54,48,17,30
27,Canada,93,37000000.0,19,52,44,53,78,41,6,13,10
28,Chile,77,18000000.0,34,37,30,73,86,63,40,22,28
29,Mexico,66,132000000.0,37,45,39,70,86,70,39,15,13
30,Australia,89,25000000.0,17,46,38,52,76,39,8,10,9
31,Hong Kong,89,7500000.0,18,39,30,66,85,58,50,0,16
32,Japan,93,127000000.0,20,36,37,25,62,6,0,15,3
33,Malaysia,81,32000000.0,17,31,25,70,86,57,51,15,20
34,Philippines,72,110000000.0,22,34,27,68,85,73,0,16,12
35,Singapore,88,5900000.0,17,41,36,63,87,46,47,0,16
36,South Korea,96,51000000.0,16,27,21,44,83,19,0,6,9
37,Taiwan,93,24000000.0,16,31,24,59,83,47,0,0,8
38,Kenya,87,54000000.0,34,57,50,77,90,66,67,40,26
39,South Africa,55,59000000.0,28,56,48,73,90,57,49,23,17
